dashboard_section,card_title,question_answered,definition_notes,numerator_definition,denominator_definition,aggregation_method,source_tables,joins_relationships,status_filters,excluded_statuses,duplicate_test_exclusion_rule,period_date_field,period_logic_current_week,period_logic_previous_week,period_logic_mtd,period_logic_ytd,period_logic_next_week,exact_formula_or_query,manual_validation_steps
Sales Stats,Total Sales,How many residential contracts were sold?,Counts all signed contracts in the selected period excluding cancelled and duplicates,COUNT(*) of projects with contract-signed in period,N/A (count metric),COUNT,timeline; project-data,"timeline.project-dev-id = project-data.project-dev-id",project-status != 'Cancelled',"Cancelled, Duplicate Project (Error)",cancellation-reason != 'Duplicate Project (Error)',contract-signed,✓,✓,✓,✓,N/A,"SELECT COUNT(*) FROM timeline t JOIN project-data pd ON t.project-dev-id = pd.project-dev-id WHERE t.contract-signed >= '[period_start]' AND t.contract-signed <= '[period_end]' AND pd.project-status != 'Cancelled' AND (t.cancellation-reason IS NULL OR t.cancellation-reason != 'Duplicate Project (Error)')","1. Query distinct project-dev-id count. 2. Verify no duplicate projects included. 3. Check that cancelled projects are excluded. 4. Confirm date range matches period selector."
Sales Stats,Aveyo Approved,How many sales passed internal QA?,Counts projects with approved SOW timestamp,COUNT(DISTINCT project-id) with sow-approved-timestamp,N/A (count metric),COUNT,customer-sow; project-data,"customer-sow.project-id = project-data.project-id (simple project-id not project-dev-id)",project-status != 'Cancelled',"Cancelled, Duplicate Project (Error)",cancellation-reason != 'Duplicate Project (Error)',sow-approved-timestamp,✓,✓,✓,✓,N/A,"SELECT COUNT(DISTINCT cs.project-id) FROM customer-sow cs JOIN project-data pd ON cs.project-id = pd.project-id WHERE cs.sow-approved-timestamp >= '[period_start]' AND cs.sow-approved-timestamp <= '[period_end]' AND pd.project-status != 'Cancelled'","1. Note: Uses simple project-id field. 2. Verify distinct count (no duplicates). 3. Check SOW-approved-timestamp is non-null. 4. Confirm cancelled filter applied."
Sales Stats,Pull Through Rate,What % of jobs sold reached install complete?,Percentage of jobs sold in period that achieved installation completion,"COUNT(*) WHERE install-complete IS NOT NULL AND contract-signed in [period]","COUNT(*) WHERE contract-signed in [period]",PERCENTAGE,timeline; project-data,"timeline.project-dev-id = project-data.project-dev-id",project-status != 'Cancelled',"Cancelled, Duplicate Project (Error)",cancellation-reason != 'Duplicate Project (Error)',contract-signed (for period filter),✓,✓,✓,✓,N/A,"SELECT (COUNT(CASE WHEN t.install-complete IS NOT NULL THEN 1 END) / COUNT(*)) * 100 FROM timeline t JOIN project-data pd ON t.project-dev-id = pd.project-dev-id WHERE t.contract-signed >= '[period_start]' AND t.contract-signed <= '[period_end]' AND pd.project-status != 'Cancelled' AND (t.cancellation-reason IS NULL OR t.cancellation-reason != 'Duplicate Project (Error)')","1. Both numerator and denominator use contract-signed date. 2. Verify install-complete is NOT NULL for numerator. 3. Recent periods will show low % (jobs need time). 4. Validate count breakdown matches."
Sales Stats,% Jobs with Battery,What % of sold jobs include battery storage?,Percentage of sales with battery systems,"COUNT(*) WHERE battery-count > 0 AND contract-signed in [period]","COUNT(*) WHERE contract-signed in [period]",PERCENTAGE,project-data; timeline,"project-data.project-dev-id = timeline.project-dev-id",project-status != 'Cancelled',"Cancelled, Duplicate Project (Error)",cancellation-reason != 'Duplicate Project (Error)',contract-signed,✓,✓,✓,✓,N/A,"SELECT (COUNT(CASE WHEN pd.battery-count > 0 THEN 1 END) / COUNT(*)) * 100 FROM project-data pd JOIN timeline t ON pd.project-dev-id = t.project-dev-id WHERE t.contract-signed >= '[period_start]' AND t.contract-signed <= '[period_end]' AND pd.project-status != 'Cancelled' AND (t.cancellation-reason IS NULL OR t.cancellation-reason != 'Duplicate Project (Error)')","1. Check battery-count > 0 for numerator. 2. Verify both use contract-signed as baseline. 3. Validate % and breakdown match. 4. Database shows 41% overall battery rate."
Sales Stats,% of Packet Approvals,What % of sales received packet approval?,Measures approval rate for sales packets,"COUNT(*) WHERE packet-approval IS NOT NULL AND contract-signed in [period]","COUNT(*) WHERE contract-signed in [period]",PERCENTAGE,timeline; project-data,"timeline.project-dev-id = project-data.project-dev-id",project-status != 'Cancelled',"Cancelled, Duplicate Project (Error)",cancellation-reason != 'Duplicate Project (Error)',contract-signed,✓,✓,✓,✓,N/A,"SELECT (COUNT(CASE WHEN t.packet-approval IS NOT NULL THEN 1 END) / COUNT(*)) * 100 FROM timeline t JOIN project-data pd ON t.project-dev-id = pd.project-dev-id WHERE t.contract-signed >= '[period_start]' AND t.contract-signed <= '[period_end]' AND pd.project-status != 'Cancelled' AND (t.cancellation-reason IS NULL OR t.cancellation-reason != 'Duplicate Project (Error)')","1. Note: packet-approval has only 38% coverage. 2. Both use contract-signed as baseline. 3. Verify packet-approval IS NOT NULL for numerator. 4. Low coverage may skew results."
Sales Stats,Reps with a Sale,How many unique reps closed deals?,Count of unique sales reps (closers + setters),COUNT(DISTINCT sales-rep-id) + COUNT(DISTINCT setter-id) where contract-signed in [period],N/A (count metric),COUNT,timeline; project-data,"timeline.project-dev-id = project-data.project-dev-id",project-status != 'Cancelled',"Cancelled, Duplicate Project (Error)",cancellation-reason != 'Duplicate Project (Error)',contract-signed,✓,✓,✓,✓,N/A,"SELECT COUNT(DISTINCT pd.sales-rep-id) + COUNT(DISTINCT pd.setter-id) FROM project-data pd JOIN timeline t ON pd.project-dev-id = t.project-dev-id WHERE t.contract-signed >= '[period_start]' AND t.contract-signed <= '[period_end]' AND pd.project-status != 'Cancelled' AND (t.cancellation-reason IS NULL OR t.cancellation-reason != 'Duplicate Project (Error)')","1. Sum distinct closers and setters. 2. Verify no double-counting if same person is both. 3. Check breakdown shows (X closers Y setters). 4. Null IDs should be excluded."
Sales Stats,Pull Through % (Rolling 6M),What % of jobs sold 61-180 days ago reached install complete?,Rolling 6-month metric - fixed lookback window prevents 0% for recent periods,"COUNT(*) WHERE install-complete IS NOT NULL AND contract-signed BETWEEN DATE_SUB(CURDATE() INTERVAL 180 DAY) AND DATE_SUB(CURDATE() INTERVAL 61 DAY)","COUNT(*) WHERE contract-signed BETWEEN DATE_SUB(CURDATE() INTERVAL 180 DAY) AND DATE_SUB(CURDATE() INTERVAL 61 DAY)",PERCENTAGE,timeline; project-data,"timeline.project-dev-id = project-data.project-dev-id",project-status != 'Cancelled',"Cancelled, Duplicate Project (Error)",cancellation-reason != 'Duplicate Project (Error)',contract-signed (61-180 days ago - NO period filter),N/A,N/A,N/A,N/A,N/A,"SELECT (COUNT(CASE WHEN t.install-complete IS NOT NULL THEN 1 END) / COUNT(*)) * 100 FROM timeline t JOIN project-data pd ON t.project-dev-id = pd.project-dev-id WHERE t.contract-signed >= DATE_SUB(CURDATE() INTERVAL 180 DAY) AND t.contract-signed <= DATE_SUB(CURDATE() INTERVAL 61 DAY) AND pd.project-status != 'Cancelled' AND (t.cancellation-reason IS NULL OR t.cancellation-reason != 'Duplicate Project (Error)')","⚠️ FLAG: This metric IGNORES period selector - always uses 61-180 day lookback. 1. Verify date range is exactly 61-180 days. 2. Numerator: must have install-complete. 3. Both use contract-signed as baseline. 4. Should show consistent % across all periods."
Sales Stats,Max Pull Through % (Rolling 6M),What % of jobs sold 61-180 days ago are still active (potential ceiling)?,Maximum achievable pull-through - excludes stuck/cancelled jobs,"COUNT(*) WHERE contract-signed BETWEEN 61-180 days ago AND project-status NOT IN ('Cancelled' 'Pending Cancel' 'On Hold' 'Finance Hold')","COUNT(*) WHERE contract-signed BETWEEN 61-180 days ago",PERCENTAGE,timeline; project-data,"timeline.project-dev-id = project-data.project-dev-id",project-status NOT IN ('Cancelled' 'Pending Cancel' 'On Hold' 'Finance Hold'),"Cancelled, Pending Cancel, On Hold, Finance Hold, Duplicate Project (Error)",cancellation-reason != 'Duplicate Project (Error)',contract-signed (61-180 days ago - NO period filter),N/A,N/A,N/A,N/A,N/A,"SELECT (COUNT(CASE WHEN pd.project-status NOT IN ('Cancelled' 'Pending Cancel' 'On Hold' 'Finance Hold') THEN 1 END) / COUNT(*)) * 100 FROM timeline t JOIN project-data pd ON t.project-dev-id = pd.project-dev-id WHERE t.contract-signed >= DATE_SUB(CURDATE() INTERVAL 180 DAY) AND t.contract-signed <= DATE_SUB(CURDATE() INTERVAL 61 DAY) AND pd.project-status != 'Cancelled' AND (t.cancellation-reason IS NULL OR t.cancellation-reason != 'Duplicate Project (Error)')","⚠️ FLAG: Ignores period selector. 1. Numerator EXCLUDES 4 specific statuses. 2. Numerator INCLUDES: Active Complete Pre-Approvals New Lender. 3. Shows max achievable rate if all active jobs complete. 4. Result should be ≥ regular pull-through %."
Operations Stats,Jobs Placed ON HOLD,How many jobs are currently paused?,Current snapshot of paused projects,COUNT(*) WHERE project-status = 'On Hold',N/A (count metric - no period filter),COUNT,project-data; timeline,"project-data.project-dev-id = timeline.project-dev-id",project-status = 'On Hold',Duplicate Project (Error),cancellation-reason != 'Duplicate Project (Error)',N/A (no period filter - current snapshot),N/A,N/A,N/A,N/A,N/A,"SELECT COUNT(*) FROM project-data pd JOIN timeline t ON pd.project-dev-id = t.project-dev-id WHERE pd.project-status = 'On Hold' AND (t.cancellation-reason IS NULL OR t.cancellation-reason != 'Duplicate Project (Error)')","⚠️ FLAG: No period filter - shows ALL jobs currently on hold regardless of period. 1. Verify count is current snapshot. 2. Database currently shows ~276 on hold. 3. Highlighted as bottleneck indicator."
Operations Stats,Installs Complete,How many installations finished?,Installations marked complete in period,COUNT(*) WHERE install-complete in [period] AND install-stage-status = 'Complete',N/A (count metric),COUNT,timeline,"N/A (single table)",install-stage-status = 'Complete',Duplicate Project (Error),cancellation-reason != 'Duplicate Project (Error)',install-complete,✓,✓,✓,✓,N/A,"SELECT COUNT(*) FROM timeline WHERE install-complete >= '[period_start]' AND install-complete <= '[period_end]' AND install-stage-status = 'Complete' AND (cancellation-reason IS NULL OR cancellation-reason != 'Duplicate Project (Error)')","1. Uses install-complete date as period filter (NOT contract-signed). 2. Must have install-stage-status = 'Complete'. 3. Database shows 3003 total complete records. 4. Verify date matches period exactly."
